"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 18:53:39 CST 2023","Mon Jun 26 18:53:39 CST 2023","142","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(zh_HK语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(zh_HK语言环境).TestDispatcher#test_api","00271_""子滤镜：icon+json zip包"":2组数据比较"
"broken","Mon Jun 26 18:54:10 CST 2023","Mon Jun 26 18:54:10 CST 2023","92","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(ja_JP语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(ja_JP语言环境).TestDispatcher#test_api","00393_""滤镜包：内容标签"":2组数据比较"
"passed","Mon Jun 26 18:56:42 CST 2023","Mon Jun 26 18:56:42 CST 2023","89","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(es_)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(es_).TestDispatcher#test_api","00901_""老UI滤镜分类：VIP"":2组数据比较"
"passed","Mon Jun 26 18:56:38 CST 2023","Mon Jun 26 18:56:38 CST 2023","101","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(es_)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(es_).TestDispatcher#test_api","00871_"""":2组数据比较"
"passed","Mon Jun 26 18:57:40 CST 2023","Mon Jun 26 18:57:40 CST 2023","23","TestCase.C360_Android.C360_兼容接口滤镜包","兼容接口滤镜包详情(zh_CN)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.兼容接口滤镜包详情(zh_CN).TestDispatcher#test_api","01087_""滤镜包名称"":2组数据比较"
"passed","Mon Jun 26 18:53:05 CST 2023","Mon Jun 26 18:53:05 CST 2023","108","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(英文语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(英文语言环境).TestDispatcher#test_api","00136_""滤镜包：商品价格"":2组数据比较"
"passed","Mon Jun 26 18:57:03 CST 2023","Mon Jun 26 18:57:03 CST 2023","122","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(pt_PT)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(pt_PT).TestDispatcher#test_api","00976_""滤镜包：内容标签 结束时间"":2组数据比较"
"passed","Mon Jun 26 18:57:30 CST 2023","Mon Jun 26 18:57:30 CST 2023","148","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01022_""子滤镜：标签"":2组数据比较"
"broken","Mon Jun 26 18:54:03 CST 2023","Mon Jun 26 18:54:03 CST 2023","83","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(ja_JP语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(ja_JP语言环境).TestDispatcher#test_api","00354_""子滤镜：icon+json zip包"":2组数据比较"
"passed","Mon Jun 26 18:53:38 CST 2023","Mon Jun 26 18:53:38 CST 2023","91","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(zh_HK语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(zh_HK语言环境).TestDispatcher#test_api","00264_""新UI滤镜分类：：滤镜包显示在面板上的子滤镜"":2组数据比较"
"passed","Mon Jun 26 18:57:37 CST 2023","Mon Jun 26 18:57:37 CST 2023","90","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01078_""当前数据版本"":2组数据比较"
